date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:23:44	114121/114121	---MCZ	200	added ('OK')	text/html	etag:cacheable:dbe9501ade97fcc653aa2bc98889c337	https://furni-demo.myshopify.com/products/muren-durable-and-portable-printed-study-table	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/products/muren-durable-and-portable-printed-study-table.html	(from https://furni-demo.myshopify.com/)
15:23:45	1546/1546	---M--	429	error ('Too%20Many%20Requests')	text/html	etag:%225923696a-60a%22	https://furni-demo.myshopify.com/products/ullamco-cillum	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/products/ullamco-cillum	(from https://furni-demo.myshopify.com/)
15:23:45	1546/1546	---M--	429	error ('Too%20Many%20Requests')	text/html	etag:%225923696a-60a%22	https://furni-demo.myshopify.com/products/alex-daisy-nordic-study-chair	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/products/alex-daisy-nordic-study-chair	(from https://furni-demo.myshopify.com/)
15:23:45	1546/1546	---M--	429	error ('Too%20Many%20Requests')	text/html	etag:%225923696a-60a%22	https://furni-demo.myshopify.com/pages/about	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/pages/about	(from https://furni-demo.myshopify.com/)
15:23:45	1546/1546	---M--	429	error ('Too%20Many%20Requests')	text/html	etag:%225923696a-60a%22	https://furni-demo.myshopify.com/blogs/news	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/blogs/news	(from https://furni-demo.myshopify.com/)
15:23:46	1546/1546	---M--	429	error ('Too%20Many%20Requests')	text/html	etag:%225923696a-60a%22	https://furni-demo.myshopify.com/pages/contact	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/pages/contact	(from https://furni-demo.myshopify.com/)
15:23:51	51401/51401	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Oct%202018%2007:23:48%20GMT	http://cdn.shopify.com/s/files/1/2588/1650/files/img1.jpg?v=1511848905	C:/Users/koo_c/Desktop/hello/etrend/cdn.shopify.com/s/files/1/2588/1650/files/img1154b.jpg	(from https://furni-demo.myshopify.com/)
15:23:54	168760/168760	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Oct%202018%2007:23:47%20GMT	http://cdn.shopify.com/s/files/1/2588/1650/t/3/assets/slideshow_1.jpg?8604530667016742802	C:/Users/koo_c/Desktop/hello/etrend/cdn.shopify.com/s/files/1/2588/1650/t/3/assets/slideshow_18a0b.jpg	(from https://furni-demo.myshopify.com/)
15:23:54	1546/1546	---M--	429	error ('Too%20Many%20Requests')	text/html	etag:%225923696a-60a%22	https://furni-demo.myshopify.com/collections/frontpage	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/collections/frontpage	(from https://furni-demo.myshopify.com/)
15:23:58	121651/121651	---MCZ	200	added ('OK')	text/html	etag:cacheable:67fc0cce25e5a4636333279a3cf1d5c6	https://furni-demo.myshopify.com/collections/chairs/products/hetal-enterprises-leatherette-office-chair	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/collections/chairs/products/hetal-enterprises-leatherette-office-chair.html	(from https://furni-demo.myshopify.com/)
15:23:59	57243/57243	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Oct%202018%2007:23:56%20GMT	http://cdn.shopify.com/s/files/1/2588/1650/files/img2.jpg?v=1511848919	C:/Users/koo_c/Desktop/hello/etrend/cdn.shopify.com/s/files/1/2588/1650/files/img2e236.jpg	(from https://furni-demo.myshopify.com/)
15:24:02	61299/61299	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Oct%202018%2007:23:56%20GMT	http://cdn.shopify.com/s/files/1/2588/1650/files/img3.jpg?v=1511848932	C:/Users/koo_c/Desktop/hello/etrend/cdn.shopify.com/s/files/1/2588/1650/files/img3e409.jpg	(from https://furni-demo.myshopify.com/)
